15-01-2022 14:37:50 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):833
15-01-2022 14:53:18 || 127.0.0.1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):840
19-01-2022 14:26:29 || 192.168.8.100 || DESKTOP-U8S4T8R || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):2714
19-01-2022 14:28:34 || 192.168.8.100 || DESKTOP-U8S4T8R || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):2782
23-01-2022 18:43:07 || 192.168.8.113 || DESKTOP-QT8P31H || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36 || Wynik(ms):17046
29-01-2022 15:01:02 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 || Wynik(ms):833
31-01-2022 11:26:43 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 || Wynik(ms):847
31-01-2022 11:27:06 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 || Wynik(ms):839
23-04-2022 14:03:03 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):843
23-04-2022 14:06:17 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):847
23-04-2022 14:08:29 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):852
23-04-2022 14:08:52 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):849
23-04-2022 14:13:39 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):855
23-04-2022 14:16:54 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36 || Wynik(ms):847
